# Only healpixels with non-zero completeness are recorded.
# nside=128, nest=False
healpix_number,completeness
2998,1.0
2999,1.0
3000,1.0
3001,1.0
3003,0.5339000225067139
3004,0.5339000225067139
3005,0.5339000225067139
3006,0.5339000225067139
3007,0.5339000225067139
3010,1.0
3013,0.8586000204086304
3014,0.8586000204086304
3015,0.8586000204086304
3016,0.8586000204086304
3017,0.8586000204086304
3019,0.382999986410141
3020,0.382999986410141
3021,0.382999986410141
3022,0.382999986410141
3023,0.382999986410141
3025,0.5407000184059143
3026,0.5407000184059143
3027,0.5407000184059143
3028,0.5407000184059143
3029,0.5407000184059143
3031,1.0
3032,1.0
3033,1.0
3034,1.0
3035,1.0
3047,1.0
3048,1.0
3049,1.0
3050,1.0
3051,1.0
3132,0.007199999876320362
3133,0.007199999876320362
3134,0.007199999876320362
3135,0.007199999876320362
3137,0.13220000267028809
3138,0.13220000267028809
3139,0.13220000267028809
3140,0.13220000267028809
3141,0.13220000267028809
3142,0.13220000267028809
3143,0.8701000213623047
3144,0.8701000213623047
3145,0.8701000213623047
3146,0.8701000213623047
3154,1.0
3155,1.0
3156,1.0
3157,1.0
3158,1.0
3160,0.5339000225067139
3161,0.5339000225067139
3162,0.5339000225067139
3163,0.5339000225067139
3164,0.5339000225067139
3166,1.0
3167,1.0
3168,1.0
3169,1.0
3170,0.8586000204086304
3171,0.8586000204086304
3172,0.8586000204086304
3173,0.8586000204086304
3174,0.8586000204086304
3175,0.8586000204086304
3177,0.382999986410141
3178,0.382999986410141
3179,0.382999986410141
3180,0.382999986410141
3183,0.5407000184059143
3184,0.5407000184059143
3185,0.5407000184059143
3186,0.5407000184059143
3188,1.0
3189,1.0
3190,1.0
3191,1.0
3192,1.0
3193,1.0
3205,1.0
3206,1.0
3207,1.0
3208,1.0
3209,1.0
3290,9.999999747378752e-05
3291,9.999999747378752e-05
3293,0.007199999876320362
3294,0.007199999876320362
3295,0.007199999876320362
3298,0.13220000267028809
3299,0.13220000267028809
3300,0.13220000267028809
3301,0.13220000267028809
3302,0.13220000267028809
3303,0.8701000213623047
3304,0.8701000213623047
3305,0.8701000213623047
3306,0.8701000213623047
3307,0.8701000213623047
3315,1.0
3316,1.0
3317,1.0
3318,1.0
3319,1.0
3321,0.5339000225067139
3322,0.5339000225067139
3323,0.5339000225067139
3324,0.5339000225067139
3325,0.5339000225067139
3326,1.0
3327,1.0
3328,1.0
3329,1.0
3330,1.0
3332,0.8586000204086304
3333,0.8586000204086304
3334,0.8586000204086304
3335,0.8586000204086304
3336,0.8586000204086304
3339,0.382999986410141
3340,0.382999986410141
3342,0.9736999869346619
3343,0.9736999869346619
3344,0.9736999869346619
3346,0.5407000184059143
3347,0.5407000184059143
3350,1.0
3351,1.0
3352,1.0
3353,1.0
3354,1.0
3369,1.0
3370,1.0
3453,9.999999747378752e-05
3454,9.999999747378752e-05
3455,9.999999747378752e-05
3456,9.999999747378752e-05
3463,0.13220000267028809
3464,0.13220000267028809
3465,0.13220000267028809
3466,0.13220000267028809
3468,0.8701000213623047
3469,0.8701000213623047
3470,0.8701000213623047
3471,0.8701000213623047
3472,0.8701000213623047
3480,1.0
3481,1.0
3482,1.0
3483,1.0
3486,0.5339000225067139
3487,0.5339000225067139
3488,0.5339000225067139
3489,0.5339000225067139
3490,0.5339000225067139
3491,1.0
3492,1.0
3493,1.0
3494,1.0
3495,1.0
3496,1.0
3497,0.8586000204086304
3498,0.8586000204086304
3499,0.8586000204086304
3500,0.8586000204086304
3501,0.8586000204086304
3507,0.9736999869346619
3508,0.9736999869346619
3509,0.9736999869346619
3510,0.9736999869346619
3517,1.0
3518,1.0
3519,1.0
3520,1.0
3532,1.0
3533,1.0
3534,1.0
3621,9.999999747378752e-05
3622,9.999999747378752e-05
3623,9.999999747378752e-05
3624,9.999999747378752e-05
3625,9.999999747378752e-05
3632,0.13220000267028809
3633,0.13220000267028809
3634,0.13220000267028809
3636,0.8701000213623047
3637,0.8701000213623047
3638,0.8701000213623047
3639,0.8701000213623047
3640,0.8701000213623047
3641,0.8701000213623047
3656,0.5339000225067139
3657,0.5339000225067139
3658,0.5339000225067139
3659,0.5339000225067139
3660,1.0
3661,1.0
3662,1.0
3663,1.0
3664,1.0
3665,1.0
3667,0.8586000204086304
3668,0.8586000204086304
3669,0.8586000204086304
